author,comments,name,press,price,rank
王小波,75765条评论,爱你就像爱生命（精装彩插典藏版）,湖南文艺出版社,¥19.90,198.
曹文轩,249869条评论,曹文轩文集典藏版（全7册）,天天出版社有限责任公司,¥84.00,199.
董卿,68275条评论,朗读者（青少版） 人民文学出版社,人民文学出版社,¥30.80,200.
耿帅,216897条评论,所有失去的都会以另一种方式归来（随书附赠限量珍藏版明信片×精,九州出版社,¥19.90,14.
叶楚桥,1026条评论,桃李春风一杯酒：唐朝诗人的快意人生 （中国诗词大会通关必读，独,贵州人民出版社,¥25.00,15.
陈果,150741条评论,复旦名师陈果：好的爱情（陈果的爱情哲学课，用哲学的方式告诉你,人民日报出版社,¥19.50,16.
阿尔弗雷德阿德勒,38614条评论,自卑与超越（白岩松推荐，超越自卑完整全译本）,浙江文艺出版社,¥16.00,245.
安德烈·艾席蒙,53066条评论,夏日终曲（第90届奥斯卡获奖电影《请以你的名字呼唤我》原著小说,外语教学与研究出版社,¥22.00,246.
乔治·奥威尔,58988条评论,一九八四（又译作“1984”）,时代文艺出版社,¥13.70,247.
北猫,90146条评论,米小圈上学记二年级（套装共4册）,四川少儿出版社,¥50.00,248.
陈丹燕,139453条评论,我的妈妈是精灵(百万纪念版，全新修订，入选小学生基础阅读书目）,福建少年儿童出版社,¥12.50,249.
莫言,3394条评论,莫言给孩子的八堂文学课(莫言给孩子们的文学启蒙读本，当当上市次,浙江文艺出版社,¥27.00,264.
姜戎,271431条评论,狼图腾(修订版)（一部描绘、研究蒙古草原狼的“旷世奇书”）（1-,长江文艺出版社,¥19.90,265.
扶霞·邓洛普,11557条评论,译文纪实系列·鱼翅与花椒,上海译文出版社,¥24.00,266.
保罗·柯艾略,395242条评论,牧羊少年奇幻之旅（央视《朗读者》、湖南卫视《天天向上》、黄轩,北京十月文艺出版社,¥26.30,281.
皮姆,118208条评论,我不敢说，我怕被骂,北京联合出版公司,¥22.60,226.
去旅行,10852条评论,去旅行系列（中国版）2018年度最值得期待的原创作品,广西科学技术出版社,¥54.00,144.
柳青,52870条评论,创业史（七年级下册自主阅读推荐）,中国青年出版社,¥23.70,145.
梭罗,437741条评论,瓦尔登湖(珍藏本) 朗读者朗读书目,中国三峡出版社,¥14.20,146.
理查德·波克斯,5206条评论,21天精通素描,百花洲文艺出版社,¥24.90,215.
杨其铎,166255条评论,四五快读 全彩图升级版——幼儿快速识字阅读法（全8册）(让孩子爱,湖南科技出版社,¥134.00,216.
野口哲典,65361条评论,数学原来可以这样学（畅销日本300万册，小学生家长必备。让孩子爱,湖南人民出版社,¥26.50,217.
郑利强,501535条评论,我的第一本地理启蒙书,新世界出版社,¥24.90,56.
慕颜歌,335262条评论,你的善良必须有点锋芒,古吴轩出版社,¥16.40,57.
罗广斌,269381条评论,红岩（七年级下册必读）,中国青年出版社,¥22.70,58.
李宗吾,28920条评论,厚黑学全集（足本典藏版，林语堂、南怀瑾、柏杨、李敖历经沉浮，,中国友谊出版公司,¥12.50,59.
Anne,149695条评论,怀孕圣经（2018全新升级修订版）,山东科学技术出版社,¥32.90,180.
张文成,86652条评论,墨菲定律,古吴轩出版社,¥16.40,17.
刘慈欣,83189条评论,三体（刘慈欣代表作，亚洲首部雨果奖获奖作品！）,重庆出版社,¥13.80,18.
卡罗尔·罗思,70419条评论,把坏脾气收起来,北京科学技术出版社,¥18.00,250.
高苏珊娜,251616条评论,法布尔昆虫记（全10册）（儿童彩图版）,北京科学技术出版社,¥99.00,251.
武志红,126471条评论,为何家会伤人（武志红代表作2018百万畅销纪念版）,北京联合出版有限公司,¥28.70,252.
卡鲁恩·霍尔,753条评论,真正厉害的人，都能掌控自己的情绪,中国致公出版社,¥21.00,253.
佐野洋子,248618条评论,活了100万次的猫（珍藏版）,接力出版社,¥27.00,267.
松田孝,12304条评论,孩子看的编程启蒙书（全4册）,青岛出版社,¥49.00,268.
安德斯·艾利克森,111355条评论,刻意练习：如何从新手到大师,机械工业出版社,¥23.40,269.
张爱玲,259276条评论,张爱玲全集01：倾城之恋（2012年全新修订版，收录《金锁记》《第,北京十月文艺出版社,¥22.40,270.
蒋勋,104741条评论,孤独六讲,长江文艺出版社,¥26.40,282.
中江嘉男,231334条评论,可爱的鼠小弟（1-12）,南海出版公司,¥99.00,283.
龙应台,59501条评论,天长地久：给美君的信（龙应台2018全新力作）,湖南文艺出版社,¥40.00,147.
冯骥才,133111条评论,俗世奇人（全二册）（第七届鲁迅文学奖获奖作品）,作家出版社,¥20.00,148.
骆玉明,67410条评论,诗经（韩寒推荐，全三册注音插图版）,三秦出版社,¥69.00,149.
Steve,97664条评论,养育女孩,中信出版社,¥16.00,150.
J.K.罗琳,63118条评论,哈利·波特与死亡圣器（《语文》教材推荐阅读书目，外国儿童文学,人民文学出版社,¥49.00,227.
林格伦,119494条评论,林格伦儿童文学作品集·典藏版——长袜子皮皮,中国少年儿童出版社,¥14.00,218.
阿加莎.克里斯蒂,159071条评论,无人生还：阿加莎 克里斯蒂作品集10（销售记录超过一亿册的侦探小,新星出版社,¥16.70,219.
李诞,70392条评论,冷场（李诞2018年新书）,四川文艺出版社,¥21.00,220.
东野圭吾,1233111条评论,东野圭吾：白夜行（2017版，易烊千玺、韩雪推荐，东野圭吾无冕之,南海出版公司,¥41.10,60.
钱钟书,651817条评论,围城,人民文学出版社,¥24.40,19.
